TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONV_2D,Conv2DBias,92224,17.94744052808569,3707.0,0.12436413092889304,3707.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,48.556784461828975,model_28/tf.nn.relu_21/Relu;model_28/tf.math.add_31/Add;model_28/tf.nn.convolution_21/convolution;Const_205
CONV_2D,Conv2DBias,98704,19.20849420849421,3293.0,0.11047506963821009,3293.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,54.66140297600972,model_28/tf.nn.relu_22/Relu;model_28/tf.math.add_32/Add;model_28/tf.nn.convolution_22/convolution;Const_202
ADD,Add,89600,17.436791630340018,2400.0,0.0805162973372925,2400.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_34/Add
CONCATENATION,AvgPool,96000,18.682276746792876,1263.0,0.04237170147375018,1263.0,880.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.9897070467141725,model_28/tf.concat_2/concat0_avgpool
CONV_2D,Conv2DBias,96704,18.81928010960269,1360.0,0.04562590182446575,1143.0,1360.0,0.0,0.0,0.0,204800,0.09541984732824427,29.411764705882355,model_28/tf.nn.relu_18/Relu;model_28/tf.math.add_26/Add;model_28/tf.nn.convolution_18/convolution;Const_201
CONCATENATION,AvgPool,70400,13.700336280981443,1263.0,0.04237170147375018,1263.0,880.0,0.0,0.0,0.0,6400,0.0029818702290076333,0.9897070467141725,model_28/tf.concat_2/concat1_avgpool
CONV_2D,Conv2DBias,78160,15.210486984680532,2223.0,0.07457822040866718,2223.0,1760.0,0.0,0.0,0.0,409600,0.19083969465648853,35.98740440845704,model_28/tf.nn.relu_23/Relu;model_28/tf.math.add_35/Add;model_28/tf.nn.convolution_23/convolution;Const_199
CONCATENATION,AvgPool,64000,12.454851164528584,1643.0,0.05512011521882149,1643.0,1600.0,0.0,0.0,0.0,12800,0.005963740458015267,1.5216068167985393,model_28/tf.concat_4/concat2_avgpool
CONV_2D,Conv2DBias,71072,13.831112218208993,1360.0,0.04562590182446575,1143.0,1360.0,0.0,0.0,0.0,204800,0.09541984732824427,29.411764705882355,model_28/tf.nn.relu_24/Relu;model_28/tf.math.add_36/Add;model_28/tf.nn.convolution_24/convolution;Const_197
CONV_2D,Conv2DBias,79472,15.46581143355337,3293.0,0.11047506963821009,3293.0,1000.0,0.0,0.0,0.0,921600,0.42938931297709926,54.66140297600972,model_28/tf.nn.relu_26/Relu;model_28/tf.math.add_38/Add;model_28/tf.nn.convolution_26/convolution;Const_195
